,,,,,,,,,,Gaming Policy and Enforcement Branch,,
,,,,,,,,,,,,
"Gaming Revenue Granted to, and Earned by Community Organizations - 2012/13 Full Report (by community)",,,,,,,,,,,,
,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
*  Multiculturalism grants were a one-time grant available in government fiscal year 2012/13 offered and funded by the Ministry of Finance and Minister Responsible for Multiculturalism. ,,,,,,,,,,,,
"   Multiculturalism grants are not considered gaming grants, but are shown in this report because they were administered by the Gaming Policy and Enforcement Branch.",,,,,,,,,,,,
"? Gaming event licence reported earnings as of June 19, 2013, including losses. It is estimated that total licensed gaming earnings in 2012/13 were approximately $35.2 million.",,,,,,,,,,,,
"? This report does not include, or show, unused grant funds returned by an organization.",,,,,,,,,,,,
,,,,,,,,,,,,
,,Grants,,,"Gaming Event Licences (reported earnings as of June 19, 2013) ?",,,,,,,
City,Organization Name,Community Gaming Grants,"Special One
Time Grants",Multiculturalism Grants *,Independent Bingo,Ticket Raffle,Wheel of Fortune,Social Occasion Casino,Poker,Total,,
100 Mile House,100 Mile & District Minor Hockey Association,"$45,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$45,000.00",,
100 Mile House,100 Mile Elementary School PAC,"$6,460.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,460.00",,
100 Mile House,100 Mile House & District Figure Skating Club,"$13,475.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,475.00",,
100 Mile House,100 Mile House & District Women's Centre Society,"$16,300.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$16,300.00",,
100 Mile House,100 Mile House and District Soccer Association,"$26,160.00",$0.00,$0.00,$0.00,"$11,207.11",$0.00,$0.00,$0.00,"$37,367.11",,
100 Mile House,100 Mile House Community Club,$0.00,$0.00,$0.00,"$18,007.33",$0.00,$0.00,$0.00,$0.00,"$18,007.33",,
100 Mile House,100 Mile House Food Bank Society,"$60,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$60,000.00",,
100 Mile House,100 Mile House Junior Secondary P.A.C.,"$5,440.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,440.00",,
100 Mile House,British Columbia Special Olympics - 100 Mile House Local,"$3,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,600.00",,
100 Mile House,Buffalo Creek Elementary School PAC,$900.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$900.00,,
100 Mile House,Canadian Council of the Blind 100 Mile House & District Chapter White Cane Club,$0.00,$0.00,$0.00,$0.00,"$1,907.01",$0.00,$0.00,$0.00,"$1,907.01",,
100 Mile House,Cariboo Family Enrichment Centre Society,"$121,725.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$121,725.00",,
100 Mile House,Ducks Unlimited Canada -100 Mile House CFG,$0.00,$0.00,$0.00,$0.00,"$1,460.12",$0.00,$0.00,$0.00,"$1,460.12",,
100 Mile House,Educo School,"$60,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$60,000.00",,
100 Mile House,Horse Lake Training Centre,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00",,
100 Mile House,Mount Timothy Ski Society,"$25,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,000.00",,
100 Mile House,Peter Skene Ogden Parent Advisory Council,"$9,120.00",$0.00,$0.00,$0.00,"$5,418.59",$0.00,$0.00,$0.00,"$14,538.59",,
100 Mile House,Royal Canadian Legion #260,$0.00,$0.00,$0.00,$0.00,"$10,101.51",$0.00,$0.00,$0.00,"$10,101.51",,
100 Mile House,South Cariboo Health Foundation,$0.00,$0.00,$0.00,$0.00,"$1,095.94",$0.00,$0.00,$0.00,"$1,095.94",,
